Grapheme	IPA	
k	k	
kh	kʰ	
g	g	
gh	g̤ʱ	
ṅ	ŋ	
c	tɕ	
cc	tɕː	
ch	tɕʰ	
j	dʓ	
jh	dʓ̤ʱ	
ñ	ɲ	
ṭ	ʈ	
ṭh	ʈʰ	
ḍ	ɖ	
ḍh	ɖ̤ʱ	
ṇ	ɳ	
t	t	
th	tʰ	
d	d	
dh	d̤ʱ	
n	n	
nn	nː	
p	p	
ph	pʰ	
b	b	
bh	b̤ʱ	
m	m	
y	j	
v	w	
r	ɾ	
l	l	
ś	ɕ	
ṣ	ʂ	
s	s	
h	ɦ	
ṃ	N	
ṁ	N	not certain if nasalization or nasal
m̐	N	
ḥ	h	
a	ɐ	
á	ˈɐ	
ā	aː	
ā́	ˈaː	
i	i	
í	ˈi	
ī	iː	
ī́	ˈiː	
u	u	
ú	ˈu	
ū	uː	
ū́	ˈuː	
e	ɛː	
é	ˈɛː	
ai	ai̯	
o	ɔː	
ó	ˈɔː	
au	au̯	
ṛ	r̩	
ṝ	r̩ː	
ḷ	l̩	
ḹ	l̩ː	
tt	tː	
ᵢ	i	
ᵤ	u	
-	NULL	
^	NULL	
$	NULL	
(	NULL	
)	NULL	
ŕ̩	ˈr̩	
r̩	r̩	
n̩	ɳ	
ā̀	ˈaː	
ṁ	N	
r̥̄	r̩ː	
à	ˌa	stressed vowel lost in previous syllable
ù	ˌu	stressed vowel lost in previous syllable
v̄	ː	
(ᵢ)	i	
(i)	i	
ṛ́	ˈr̩	
